playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
shrevch01,2024,1,COL,NL,0,0,1,0,0,0,0,3,1,0,0.0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0
shugach01,2024,1,BOS,AL,0,0,6,0,0,0,1,26,8,4,1.0,3,8,0.242,4.15,0.0,0.0,0.0,0.0,36.0,4.0,4,0.0,0.0,1.0
shugach01,2025,1,PIT,NL,4,3,35,0,0,0,0,135,33,17,6.0,17,31,0.206,3.4,2.0,3.0,1.0,0.0,181.0,11.0,18,0.0,3.0,2.0
shustja01,2023,1,ATL,NL,4,3,11,11,0,0,0,158,53,34,7.0,26,30,0.264,5.81,0.0,3.0,1.0,0.0,230.0,0.0,34,0.0,2.0,4.0
shustja01,2024,1,CHA,AL,2,5,39,4,0,0,0,220,74,35,9.0,33,56,0.261,4.3,0.0,3.0,0.0,0.0,321.0,14.0,38,0.0,5.0,6.0
shustja01,2025,1,CHA,AL,0,0,12,2,0,0,0,47,27,14,0.0,5,12,0.365,8.04,2.0,1.0,2.0,0.0,82.0,4.0,15,0.0,1.0,1.0
silsech01,2022,1,LAA,AL,1,3,7,7,0,0,0,86,33,21,7.0,12,24,0.287,6.59,0.0,2.0,1.0,0.0,129.0,0.0,21,1.0,0.0,3.0
silsech01,2023,1,LAA,AL,4,1,16,8,0,0,0,157,41,23,9.0,26,56,0.212,3.96,0.0,5.0,2.0,1.0,221.0,3.0,26,0.0,0.0,6.0
silsech01,2024,1,LAA,AL,0,1,2,2,0,0,0,24,8,6,3.0,4,12,0.235,6.75,0.0,0.0,0.0,0.0,38.0,0.0,7,0.0,0.0,0.0
silsech01,2025,1,LAA,AL,0,0,10,0,0,0,0,33,10,2,1.0,6,13,0.244,1.64,1.0,1.0,1.0,0.0,49.0,0.0,2,0.0,1.0,0.0
simmoan01,2022,1,CHN,NL,0,0,1,0,0,0,0,3,5,5,0.0,1,0,0.833,45.0,0.0,0.0,0.0,0.0,9.0,1.0,5,0.0,2.0,0.0
simpsjo02,2025,1,MIA,NL,4,2,31,0,0,0,0,92,34,25,5.0,22,36,0.27,7.34,2.0,3.0,3.0,0.0,151.0,10.0,28,0.0,0.0,2.0
simslu01,2020,1,CIN,NL,3,0,20,0,0,0,0,77,13,7,3.0,11,34,0.146,2.45,0.0,0.0,3.0,0.0,103.0,5.0,10,0.0,0.0,2.0
simslu01,2021,1,CIN,NL,5,3,47,0,0,0,7,141,34,23,6.0,18,76,0.2,4.4,3.0,2.0,4.0,1.0,195.0,13.0,26,0.0,3.0,1.0
simslu01,2022,1,CIN,NL,1,0,6,0,0,0,1,20,5,7,0.0,6,5,0.217,9.45,0.0,0.0,1.0,0.0,31.0,1.0,7,0.0,1.0,1.0
simslu01,2023,1,CIN,NL,7,3,67,0,0,0,3,183,33,21,5.0,39,72,0.163,3.1,1.0,3.0,10.0,1.0,258.0,5.0,23,2.0,5.0,3.0
simslu01,2024,1,CIN,NL,1,4,43,0,0,0,1,106,30,14,6.0,20,40,0.231,3.57,0.0,1.0,1.0,0.0,154.0,5.0,14,1.0,2.0,2.0
simslu01,2024,2,BOS,AL,0,2,15,0,0,0,0,42,11,10,2.0,10,9,0.224,6.43,0.0,1.0,1.0,0.0,61.0,1.0,10,0.0,1.0,2.0
simslu01,2025,1,WAS,NL,1,0,18,0,0,0,0,37,14,19,2.0,14,13,0.275,13.86,0.0,3.0,7.0,0.0,72.0,2.0,19,0.0,0.0,0.0
singebr01,2020,1,KCA,AL,4,5,12,12,0,0,0,193,52,29,8.0,23,61,0.22,4.06,0.0,5.0,2.0,1.0,263.0,0.0,29,0.0,2.0,4.0
singebr01,2021,1,KCA,AL,5,10,27,27,1,0,0,385,146,70,14.0,53,131,0.281,4.91,1.0,3.0,11.0,1.0,586.0,0.0,81,0.0,3.0,8.0
