playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,WAR
lopezot01,2025,1,MIA,NL,143,544,66,134,21,0,15,77.0,15.0,6.0,44,82.0,2.0,3.0,0.0,3.0,9.0,3.5
lopezpa01,2021,1,MIA,NL,21,33,2,2,2,0,0,0.0,0.0,0.0,0,17.0,0.0,0.0,2.0,0.0,1.0,-0.1
lorenmi01,2021,1,CIN,NL,27,1,1,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lowebr01,2020,1,TBA,AL,56,193,36,52,9,2,14,37.0,3.0,0.0,25,58.0,0.0,4.0,0.0,2.0,2.0,2.4
lowebr01,2021,1,TBA,AL,149,535,97,132,31,0,39,99.0,7.0,1.0,68,167.0,4.0,9.0,0.0,3.0,2.0,4.6
lowebr01,2022,1,TBA,AL,65,235,31,52,10,2,8,25.0,1.0,0.0,27,61.0,0.0,3.0,0.0,1.0,1.0,0.9
lowebr01,2023,1,TBA,AL,109,377,58,87,15,1,21,68.0,7.0,0.0,50,119.0,0.0,6.0,0.0,3.0,8.0,2.1
lowebr01,2024,1,TBA,AL,107,385,56,94,19,3,21,58.0,5.0,1.0,33,112.0,2.0,5.0,0.0,2.0,7.0,2.4
lowebr01,2025,1,TBA,AL,134,507,79,130,19,0,31,83.0,3.0,2.0,38,149.0,1.0,2.0,0.0,6.0,6.0,1.9
lowejo01,2021,1,TBA,AL,2,1,0,1,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
lowejo01,2022,1,TBA,AL,52,181,24,40,12,2,2,13.0,3.0,0.0,15,66.0,1.0,1.0,1.0,0.0,1.0,0.3
lowejo01,2023,1,TBA,AL,135,466,71,136,33,2,20,83.0,32.0,3.0,31,124.0,2.0,1.0,0.0,3.0,6.0,3.7
lowejo01,2024,1,TBA,AL,106,353,37,85,19,2,10,34.0,25.0,1.0,32,123.0,4.0,0.0,0.0,2.0,2.0,0.7
lowejo01,2025,1,TBA,AL,108,396,56,87,21,2,11,40.0,18.0,4.0,33,109.0,1.0,3.0,1.0,2.0,7.0,0.1
lowena01,2020,1,TBA,AL,21,67,10,15,2,0,4,11.0,1.0,0.0,9,28.0,2.0,0.0,0.0,0.0,2.0,0.3
lowena01,2021,1,TEX,AL,157,557,75,147,24,3,18,72.0,8.0,0.0,80,162.0,2.0,2.0,0.0,3.0,13.0,2.3
lowena01,2022,1,TEX,AL,157,593,74,179,26,3,27,76.0,2.0,2.0,48,147.0,2.0,4.0,0.0,0.0,10.0,3.2
lowena01,2023,1,TEX,AL,161,623,89,163,38,3,17,82.0,1.0,0.0,93,165.0,2.0,5.0,0.0,3.0,22.0,2.9
lowena01,2024,1,TEX,AL,140,486,62,129,16,1,16,69.0,2.0,0.0,71,125.0,1.0,4.0,0.0,4.0,9.0,3.0
lowena01,2025,1,WAS,NL,119,440,50,95,17,2,16,68.0,1.0,0.0,47,130.0,0.0,1.0,0.0,2.0,5.0,-0.3
lowena01,2025,2,BOS,AL,34,100,14,28,6,1,2,16.0,0.0,0.0,15,29.0,2.0,1.0,0.0,3.0,1.0,0.4
lowrije01,2021,1,OAK,AL,139,457,55,112,28,0,14,69.0,0.0,0.0,49,108.0,1.0,2.0,0.0,4.0,8.0,0.2
lowrije01,2022,1,OAK,AL,50,167,14,30,5,0,3,16.0,1.0,0.0,15,39.0,0.0,0.0,0.0,2.0,5.0,-1.2
lucchjo01,2021,1,NYN,NL,11,10,1,0,0,0,0,0.0,0.0,0.0,1,7.0,0.0,0.0,0.0,0.0,0.0,-0.1
luciama01,2023,1,SFN,NL,14,39,4,9,3,0,0,0.0,1.0,0.0,6,17.0,0.0,0.0,0.0,0.0,0.0,0.1
luciama01,2024,1,SFN,NL,27,76,10,16,5,1,0,3.0,0.0,1.0,5,28.0,0.0,0.0,0.0,0.0,1.0,-0.4
lucrojo01,2021,1,WAS,NL,5,14,0,5,1,0,0,2.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
lucrojo01,2021,2,ATL,NL,2,5,2,1,0,0,0,1.0,0.0,0.0,3,2.0,0.0,0.0,1.0,0.0,0.0,0.1
lugoda01,2020,1,DET,AL,9,10,3,2,0,0,0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,-0.1
